Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MNST,Monster Beverage Corporation,83.76,1.77,2.159,81835297052.0,United States,,6602817,Consumer Staples,Beverages (Production/Distribution)
MDLZ,Mondelez International Inc. Class A Common Stock,58.8,0.16,0.273,75372525337.0,United States,,9491532,Consumer Staples,Packaged Foods
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,105.7,1.0,0.955,47985943168.0,United Kingdom,,1645417,Consumer Staples,Beverages (Production/Distribution)
KDP,Keurig Dr Pepper Inc. Common Stock,29.54,0.44,1.512,40132545513.0,United States,,6802395,Consumer Staples,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,24.4,0.41,1.709,28883371924.0,United States,,13442797,Consumer Staples,Packaged Foods
CELH,Celsius Holdings Inc. Common Stock,48.32,4.19,9.495,12456185551.0,United States,,8560538,Consumer Staples,Beverages (Production/Distribution)
COKE,Coca-Cola Consolidated Inc. Common Stock,182.22,5.43,3.071,12129345653.0,United States,1972.0,533488,Consumer Staples,Beverages (Production/Distribution)
PPC,Pilgrim's Pride Corporation Common Stock,41.74,-0.71,-1.673,9915230438.0,United States,,798484,Consumer Staples,Meat/Poultry/Fish
SFD,Smithfield Foods Inc. Common Stock,25.04,0.24,0.968,9843542283.0,United States,2025.0,823847,Consumer Staples,Meat/Poultry/Fish
CPB,The Campbell's Company Common Stock,26.83,-0.13,-0.482,7998941793.0,United States,,5821981,Consumer Staples,Packaged Foods
SFM,Sprouts Farmers Market Inc. Common Stock,67.48,-0.37,-0.545,6570489744.0,United States,2013.0,6232886,Consumer Staples,Food Chains
MZTI,The Marzetti Company Common Stock,165.82,2.12,1.295,4547281860.0,United States,,211987,Consumer Staples,Packaged Foods
CALM,Cal-Maine Foods Inc. Common Stock,83.81,0.23,0.275,3993885595.0,United States,1996.0,725779,Consumer Staples,Farming/Seeds/Milling
FRPT,Freshpet Inc. Common Stock,74.51,-0.16,-0.214,3636709190.0,United States,2014.0,2478577,Consumer Staples,Packaged Foods
FIZZ,National Beverage Corp. Common Stock,37.01,0.45,1.231,3465324095.0,United States,,444799,Consumer Staples,Beverages (Production/Distribution)
COCO,The Vita Coco Company Inc. Common Stock,53.96,2.2,4.25,3080154055.0,United States,2021.0,2518886,Consumer Staples,Beverages (Production/Distribution)
SONO,Sonos Inc. Common Stock,15.41,-0.25,-1.596,1862647644.0,United States,2018.0,2910296,Consumer Staples,Consumer Electronics/Appliances
IMKTA,Ingles Markets Incorporated Class A Common Stock,87.35,0.42,0.483,1659158744.0,United States,1987.0,200138,Consumer Staples,Food Chains
JJSF,J & J Snack Foods Corp. Common Stock,84.65,-0.42,-0.494,1609357589.0,United States,1986.0,295063,Consumer Staples,Specialty Foods
SMPL,The Simply Good Foods Company Common Stock,16.91,0.14,0.835,1565447562.0,United States,,1979677,Consumer Staples,Packaged Foods
VITL,Vital Farms Inc. Common Stock,27.17,-0.38,-1.379,1216523708.0,United States,2020.0,1273263,Consumer Staples,Packaged Foods
AVO,Mission Produce Inc. Common Stock,14.52,-0.28,-1.892,1024669387.0,United States,2020.0,409255,Consumer Staples,Farming/Seeds/Milling
GO,Grocery Outlet Holding Corp. Common Stock,10.36,0.16,1.569,1016701703.0,United States,2019.0,2712905,Consumer Staples,Food Chains
JBSS,John B. Sanfilippo & Son Inc. Common Stock,82.98,-0.57,-0.682,969771494.0,United States,1991.0,116435,Consumer Staples,Specialty Foods
SENEA,Seneca Foods Corp. Class A Common Stock,131.06,4.7,3.72,886859953.0,United States,,38756,Consumer Staples,Packaged Foods
SENEB,Seneca Foods Corp. Class B Common Stock,130.0,7.12,5.794,879687120.0,United States,,335,Consumer Staples,Packaged Foods
ARKO,ARKO Corp. Common Stock,6.07,-0.13,-2.097,676384822.0,United States,,457446,Consumer Staples,Food Chains
MAMA,Mama's Creations Inc. Common Stock,15.89,0.94,6.288,645981461.0,United States,,687964,Consumer Staples,Specialty Foods
VLGEA,Village Super Market Inc. Class A Common Stock,39.2,-0.02,-0.051,578336024.0,United States,,44558,Consumer Staples,Food Chains
MGPI,MGP Ingredients Inc.,25.93,0.38,1.487,552161588.0,United States,,238637,Consumer Staples,Beverages (Production/Distribution)
DNUT,Krispy Kreme Inc. Common Stock,3.03,0.05,1.678,519039000.0,United States,2021.0,1567278,Consumer Staples,Food Chains
WEST,Westrock Coffee Company Common Stock,4.93,0.02,0.407,477346806.0,United States,,139440,Consumer Staples,Beverages (Production/Distribution)
AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,11.4,1.35,13.433,388899600.0,Taiwan,2025.0,116451,Consumer Staples,Beverages (Production/Distribution)
OTLY,Oatly Group AB American Depositary Shares,11.755,-0.445,-3.648,351803546.0,Sweden,2021.0,95211,Consumer Staples,Packaged Foods
LWAY,Lifeway Foods Inc. Common Stock,21.98,0.09,0.411,334728211.0,United States,,17470,Consumer Staples,Packaged Foods
BYND,Beyond Meat Inc. Common Stock,0.725,-0.065,-8.228,328920347.0,United States,2019.0,23274767,Consumer Staples,Packaged Foods
WEYS,Weyco Group Inc. Common Stock,32.06,0.05,0.156,306121319.0,United States,,6090,Consumer Staples,Apparel
AFRI,Forafric Global PLC Ordinary Shares,9.99,0.1,1.011,268746904.0,Gibraltar,,7749,Consumer Staples,Packaged Foods
LMNR,Limoneira Co Common Stock,14.07,-0.08,-0.565,254935976.0,United States,,21256,Consumer Staples,Farming/Seeds/Milling
TWG,Top Wealth Group Holding Limited Class A Ordinary Shares,3.9223,-0.1177,-2.913,101639411.0,Hong Kong,2024.0,15706,Consumer Staples,Packaged Foods
GNSS,Genasys Inc. Common Stock,2.04,0.01,0.493,92233114.0,United States,,235421,Consumer Staples,Consumer Electronics/Appliances
CHSN,Chanson International Holding Class A Ordinary Shares,2.14,0.0899,4.385,83414589.0,China,2023.0,2643,Consumer Staples,Packaged Foods
HAIN,Hain Celestial Group Inc. (The) Common Stock,0.854,-0.0502,-5.552,77707800.0,United States,,1302194,Consumer Staples,Packaged Foods
ABVE,Above Food Ingredients Inc. Common Stock,1.51,-0.04,-2.581,77299690.0,Canada,,1019659,Consumer Staples,Packaged Foods
YI,111 Inc. American Depositary Shares,8.18,-0.09,-1.088,70899626.0,China,2018.0,19232,Consumer Staples,Retail-Drug Stores and Proprietary Stores
BRID,Bridgford Foods Corporation Common Stock,7.4752,-0.0448,-0.596,67851135.0,United States,,1174,Consumer Staples,Specialty Foods
PETS,PetMed Express Inc. Common Stock,2.95,-0.06,-1.993,63131460.0,United States,,67631,Consumer Staples,Retail-Drug Stores and Proprietary Stores
BOF,BranchOut Food Inc. Common Stock,4.18,0.19,4.762,56055719.0,United States,2023.0,105851,Consumer Staples,Packaged Foods
UEIC,Universal Electronics Inc. Common Stock,4.12,0.04,0.98,55068357.0,United States,1993.0,23251,Consumer Staples,Consumer Electronics/Appliances
BRFH,Barfresh Food Group Inc. Common Stock,2.74,-0.1,-3.521,43755830.0,United States,,2254,Consumer Staples,Packaged Foods
KOSS,Koss Corporation Common Stock,4.26,0.09,2.158,40327026.0,United States,,13134,Consumer Staples,Consumer Electronics/Appliances
BRLS,Borealis Foods Inc. Class A Common Shares,1.6,0.26,19.403,34341290.0,Canada,2021.0,230140,Consumer Staples,Packaged Foods
MGN,Megan Holdings Limited Class A Ordinary Shares,2.06,0.02,0.98,33475000.0,Malaysia,2025.0,1352,Consumer Staples,Farming/Seeds/Milling
RYM,RYTHM Inc. Common Stock,15.41,-1.19,-7.169,33118062.0,United States,2021.0,6804,Consumer Staples,Farming/Seeds/Milling
FARM,Farmer Brothers Company Common Stock,1.46,-0.01,-0.68,31721649.0,United States,,51612,Consumer Staples,Packaged Foods
RDGT,Ridgetech Inc. Ordinary Shares,1.58,0.0,0.0,28891308.0,China,,286,Consumer Staples,Retail-Drug Stores and Proprietary Stores
PFAI,Pinnacle Food Group Limited Class A Common Shares,2.305,0.065,2.902,26968500.0,Canada,2025.0,2469,Consumer Staples,Farming/Seeds/Milling
RMCF,Rocky Mountain Chocolate Factory Inc. Common Stock,2.55,-0.01,-0.391,23798696.0,United States,,72899,Consumer Staples,Specialty Foods
AFRIW,Forafric Global PLC Warrants,0.7785,0.0118,1.539,20942889.0,Gibraltar,,152,Consumer Staples,Packaged Foods
WYHG,Wing Yip Food Holdings Group Limited American Depositary Shares,0.4121,0.001,0.243,20741375.0,China,2024.0,21578,Consumer Staples,Specialty Foods
